market,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr,Quadrant,Supply_Growth_5yr,UPP_Change_5yr,Absorption_Pressure,Trajectory_Score,Rank_1yr,Rank_10yr,Rent_Growth_1yr,Rent_Growth_5yr_Ann,Rent_Growth_10yr_Ann,COVID_Deviation_Flag,Supply_Shift_Flag,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth,absorption_pressure_rank,trajectory_score_rank,Combined_Score,Final_Rank
Stockton - CA,19.0,16.0,6.0,-13.0,Q2_LowSupply_TightPerCap,0.0264506586867541,-0.000209886470608,0.006048127752235,-4.0,17.0,13.0,0.0258954134408744,0.029519429768019,0.0283906768184258,False,False,0.0804690473136156,0.1336139153707012,6.0,15.0,15.600000000000001,11.0
Springfield - MA,17.0,35.0,65.0,48.0,Q2_LowSupply_TightPerCap,0.0122368258415392,0.0002588190779069,-0.0066976181209494,22.0,6.0,28.0,0.0295528793427606,0.0308143160146701,0.0275261636142298,True,True,0.0488304527876013,0.1254117556219003,12.0,20.0,16.6,12.0
Gulfport-Biloxi-Pascagoula - MS,21.0,18.0,57.0,36.0,Q2_LowSupply_TightPerCap,0.0112453580208169,0.0005610416297364,-0.011874069820748,-50.0,73.0,23.0,0.0184972872183124,0.0295125420438477,0.0278640015372311,True,False,0.0414630618890754,0.1244689894115758,13.0,8.0,16.8,13.0
Seattle - WA,23.0,10.0,18.0,-5.0,Q1_HighSupply_TightPerCap,0.0654370274550035,0.0020368884592854,-0.0218522087003945,-100.0,109.0,9.0,0.0141044506337162,0.0288891575018876,0.0289475962412741,False,False,0.0757286654506839,0.1175212594190511,18.0,2.0,17.799999999999997,14.0
San Antonio - TX,24.0,39.0,4.0,-20.0,Q1_HighSupply_TightPerCap,0.0787513102838877,0.0016530845973031,-0.0209171918802166,-94.0,136.0,42.0,0.0109724597131575,0.0284483650052547,0.026817471341612,True,True,0.0411239010958248,0.1391216234207062,17.0,4.0,18.599999999999998,15.0
Manchester - NH,18.0,56.0,41.0,23.0,Q1_HighSupply_TightPerCap,0.0586009082941598,0.0022218676312215,-0.0387893100282965,17.0,49.0,66.0,0.0216502388198354,0.0285255629192744,0.0261455716592995,True,True,0.0658002915224267,0.1663360698600362,22.0,18.0,18.8,16.0
Providence - RI,20.0,57.0,34.0,14.0,Q2_LowSupply_TightPerCap,0.0416527452945763,0.0009893315170185,-0.02701512685165,27.0,37.0,64.0,0.0232947688342746,0.0288310149681434,0.0262416801862428,True,False,0.0640208599480998,0.151219506901709,20.0,21.0,20.2,17.0
Mobile - AL,31.0,26.0,82.0,51.0,Q2_LowSupply_TightPerCap,0.0067549551151009,-0.0003393189130519,0.006323269846072,-74.0,118.0,44.0,0.0132256341636141,0.0280378232321052,0.0267832042894591,True,False,0.0563970308120027,0.1596515495431343,5.0,5.0,20.599999999999998,18.0
Bakersfield - CA,27.0,19.0,29.0,2.0,Q2_LowSupply_TightPerCap,0.0238349885408708,-2.263609669160213e-05,0.0008097820413339,2.0,10.0,12.0,0.0277570394835631,0.0298053674987006,0.0284024139173357,True,False,0.0533201529281073,0.1464269110071778,8.0,16.0,21.0,19.0
Worcester - MA,22.0,66.0,44.0,22.0,Q2_LowSupply_TightPerCap,0.0500213115752299,0.0011661141503565,-0.0356649654394061,48.0,36.0,84.0,0.0233583307296698,0.0282457525660275,0.0255687610392294,True,True,0.0570753408090445,0.1235275932577397,21.0,23.0,22.0,20.0
Reading - PA,25.0,53.0,56.0,31.0,Q2_LowSupply_TightPerCap,0.0404257222073158,0.0006794583490461,-0.0268170260901448,14.0,34.0,48.0,0.0235867456832481,0.0292432011698791,0.0267263184124346,True,True,0.0484462993027932,0.1060510115894646,19.0,17.0,22.200000000000003,21.0
Salem - OR,30.0,48.0,26.0,-4.0,Q2_LowSupply_TightPerCap,0.0535496305814326,0.0012706476185288,-0.0186599072293145,19.0,15.0,34.0,0.0261495894104724,0.0285678880361002,0.027268914463675,False,False,0.0817548499863274,0.1328874241419368,14.0,19.0,24.6,22.0
Tallahassee - FL,40.0,38.0,30.0,-10.0,Q2_LowSupply_TightPerCap,0.0250916267268113,-0.0004756756284752,0.007855674689351,-52.0,98.0,46.0,0.014660152133882,0.0277708937174325,0.0267634059111507,True,True,0.063550769332983,0.1377277565894388,4.0,7.0,26.2,23.0
