market,Empirical_Rank_1yr,Empirical_Rank_3yr,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr,growth_eff_rent_1yr,growth_supply_1yr,growth_employment_1yr,growth_income_1yr,growth_pop_1yr,growth_sale_price_1yr,growth_eff_rent_3yr,growth_supply_3yr,growth_employment_3yr,growth_income_3yr,growth_pop_3yr,growth_sale_price_3yr,growth_eff_rent_5yr,growth_supply_5yr,growth_employment_5yr,growth_income_5yr,growth_pop_5yr,growth_sale_price_5yr,growth_eff_rent_10yr,growth_supply_10yr,growth_employment_10yr,growth_income_10yr,growth_pop_10yr,growth_sale_price_10yr
San Jose - CA,43.0,9.0,11.0,32.0,50.5,39.5,0.01696656283614395,0.008295071931435638,0.00818956243244462,0.041701076676824655,0.00501420522823226,0.06683566806116747,0.0882909232405733,0.01430670339761253,0.02531790894873409,0.1667412395388368,0.008119875429129397,0.210208353065513,0.14739877978086136,0.03941230486685021,0.039806546037161716,0.2912979792434658,0.009862450888870278,0.34117845336078445,0.29292270144277444,0.12522191613100708,0.0823344419999541,0.6126289663924516,0.027048879646425217,0.5391726493900977
Palm Beach - FL,12.0,12.0,12.0,20.0,7.0,-5.0,0.03973246260446017,0.014521405540257382,0.008601408217501882,0.026642093900983266,0.009358513657539147,0.0661285343579916,0.11565805599020185,0.051378003718609566,0.024161643332014426,0.10243413484093389,0.02704529830381297,0.2024265705549244,0.18067767446729888,0.09473040080962125,0.03700035008994296,0.18130335866847846,0.04113543787217755,0.31978759195548134,0.3597819215579583,0.20851279154604718,0.07324246429643844,0.3627574810049494,0.09015035956929118,0.524708108507062
Winston-Salem - NC,92.0,36.0,13.0,11.0,27.0,14.0,0.015294709834909659,0.006365082973402991,0.004780410029417537,0.019690168159026467,0.0033111711791238285,0.0391337455979881,0.08474992618981103,0.012502841554898891,0.012912568561904925,0.10012606527430279,0.012678838687069538,0.16825488094498864,0.1526090572893919,0.02690952489202081,0.01960994781781511,0.18816691542486508,0.022061040216886818,0.3034818634553944,0.314690769511476,0.06518526937940439,0.039112668158878705,0.4160250675512076,0.04632554514842302,0.5171223451684384
Fresno - CA,10.0,8.0,14.0,13.0,17.0,3.0,0.024617451146206948,-0.00012355048802448199,0.007680834683204019,0.02657712354002828,0.0040412556409843425,0.05138523948784335,0.09255935790528302,0.00674232663219021,0.022574586766722637,0.11588026124366091,0.015973211940263354,0.17466814579511158,0.1544862403759757,0.011649046013731734,0.035162468522932366,0.20742063620567142,0.028608759747974055,0.2911615504720595,0.320132116660075,0.025945602485129893,0.07191277097948645,0.4416074639207024,0.06358286316961581,0.495822578039802
Raleigh - NC,147.0,111.0,15.0,14.0,3.0,-12.0,0.005458608692194167,0.023980551955421703,0.010342094478909214,0.024099033990746976,0.01095166893939492,0.02802426281601411,0.08075446647210738,0.06535158051973733,0.033465417054885815,0.10456831352908358,0.03958739983976933,0.1613500998792714,0.16308885892913327,0.12316118592067005,0.05349481277638746,0.1875332914002783,0.0686095160443434,0.3231465807907117,0.3597768566691666,0.26884578491458533,0.10779753865576902,0.39085871790397864,0.14653098242495166,0.5906894687377919
Austin - TX,125.0,26.0,16.0,17.0,1.0,-15.0,0.014006873388189955,0.02082987704842476,0.014181757474096335,0.035245970810744875,0.013879617430628377,0.03945162485795106,0.09317861554797524,0.06970942628742782,0.04642333951733035,0.12931232252892277,0.05230392967743924,0.18257795930160015,0.15978709314431838,0.12845705297179055,0.07060018978390215,0.21442756835908505,0.0920504268260014,0.3341433999455836,0.3270219488358965,0.28744308650850714,0.13893973963614403,0.421405297448167,0.19874539083058318,0.5816948977641476
Springfield - MA,11.0,13.0,17.0,35.0,65.0,48.0,0.02955287934276063,-0.0001236043014296584,0.002847025553093907,0.0290136030131265,0.0014307802159889693,0.047451622189312426,0.101971469645737,0.0038317333443202983,0.006954751660482206,0.12024193152548279,0.0034237062640936067,0.1666804367019712,0.16386392526236282,0.01223682584153929,0.009536332017887839,0.2122473884881766,0.0055392077205898005,0.28583330796426876,0.3119850614351243,0.03419719006221422,0.019703451980187303,0.44943777737471313,0.01569025264342616,0.4690402115041816
Manchester - NH,39.0,17.0,18.0,56.0,41.0,23.0,0.02165023881983541,0.010039040713887282,0.004498107609916868,0.024894869550573517,0.002995214507231614,0.05165119517065553,0.09165797734797221,0.027487849573739176,0.011366951888572618,0.11051704075331759,0.011349773669935947,0.18138642989972187,0.15100033619708308,0.05860090829415987,0.016712340346629162,0.19938580811804107,0.019811598265863317,0.3161648074667869,0.2944633321511887,0.14010835789976883,0.03920069696672224,0.42867436968509653,0.0429889312981262,0.5086712931768349
Stockton - CA,8.0,11.0,19.0,16.0,6.0,-13.0,0.025895413440874426,-0.0001375847005813391,0.0070489808264029286,0.019720744147506464,0.0050371062358471885,0.05092990696155697,0.0943346001317622,0.015134317063942415,0.021346692046274818,0.10318821715452442,0.018643624695300343,0.1738019367197321,0.15657216660162243,0.026450658686754114,0.033428911157703745,0.18937158956857125,0.03249878643898918,0.28925971709157805,0.32306538612740554,0.059299005950538275,0.06750977227261346,0.40368236662491896,0.07186229968540614,0.49409775540867806
Providence - RI,32.0,19.0,20.0,57.0,34.0,14.0,0.023294768834274615,0.006936820835918622,0.004009864025812604,0.020627309321826992,0.003318293712445186,0.049209047565292874,0.09330685677631423,0.02314925301894899,0.009353401470578282,0.09763557296874037,0.009390895354034035,0.17260373710325672,0.15271047500033674,0.0416527452945763,0.012521371752869825,0.17977525717155163,0.014637618442926215,0.2979156916659724,0.29567623424881706,0.09009912016928379,0.022433996968653558,0.3822250597642127,0.031612171688150115,0.48180056759362744
Gulfport-Biloxi-Pascagoula - MS,81.0,45.0,21.0,18.0,57.0,36.0,0.018497287218312453,-0.00015691197238354437,0.0037272901929672475,0.03407436389507246,0.0014797032443256697,0.0358292332091632,0.0883690446324994,0.005753438987394777,0.006844172444914642,0.1310455746199961,0.002015644164865993,0.15654493124133295,0.15653347843679932,0.011245358020816942,0.007637360517992908,0.22615507785627642,-0.0006287117999310698,0.2807977765076215,0.3163050942476924,0.02594277943407075,0.013070259443262344,0.4733357694377096,-0.010926974036193915,0.48690146334243023
Worcester - MA,24.0,16.0,22.0,66.0,44.0,22.0,0.023358330729669863,0.006545698106314335,0.005349010292775569,0.02464042460806981,0.003152707556508094,0.0512136336120923,0.09170684101768378,0.023777628935030215,0.014261033947412516,0.10809892153577971,0.00906369501717963,0.17926386085166834,0.1494355397733762,0.05002131157522993,0.021172875746924946,0.19590460119007003,0.014356346135823816,0.31138485538599925,0.28720535277639336,0.11870547403032328,0.04097480333640546,0.4160227460820196,0.03290012555421029,0.49745766005255687
Seattle - WA,88.0,50.0,23.0,10.0,18.0,-5.0,0.014104450633716237,0.011062292303231747,0.008522103290234728,0.038086096208588494,0.007846601628958005,0.04438985722847688,0.0841408208664225,0.034911642913962426,0.026098483739182665,0.14010113163155014,0.025679310512944475,0.16970681164970625,0.1530362286097373,0.06543702745500357,0.04062458817155501,0.2411720638389998,0.04358481875460907,0.30800725169513243,0.33024786131133865,0.162896219144407,0.08178501090887802,0.5006010540277668,0.09346684221275581,0.5385634784196056
San Antonio - TX,139.0,67.0,24.0,39.0,4.0,-20.0,0.010972459713157523,0.010876439146517924,0.008695026890941149,0.0232574463942814,0.00867560661892508,0.03379155746110074,0.0827092537534011,0.0369175192535931,0.0268000234732666,0.10221076943373109,0.03285454182020442,0.16932094339015746,0.15056844859572727,0.07875131028388771,0.04386029439112904,0.18421365031722958,0.05783411840367103,0.31720951983279266,0.30296423817772533,0.19974357419455435,0.09047539150350414,0.38798660845440414,0.12366016593663809,0.533825721304388
Reading - PA,36.0,27.0,25.0,53.0,56.0,31.0,0.023586745683248145,0.0069761202039173575,0.0036067641794454985,0.03499823625698162,0.0026145888834250286,0.047894193179848,0.09412399343130695,0.022717109381987344,0.008473575332407002,0.12905331694221744,0.008471466089838842,0.1675929980226265,0.15502140948315613,0.040425722207315884,0.011321177602756638,0.21726084461664308,0.013608696117171082,0.28755139277847164,0.30180802905403725,0.0867543153564081,0.026014771255532976,0.44234838297925516,0.027469261569211367,0.46985895717685544
Louisville - KY,103.0,60.0,26.0,22.0,42.0,16.0,0.01669548057321335,0.009301887582137125,0.005773366683750725,0.026422578716206235,0.003292807432935918,0.03839232830879746,0.08561519484150382,0.031881722680283,0.01434550099711207,0.10943842827220185,0.012738280983737527,0.16593445253725347,0.1538467391163929,0.056617000795212036,0.021006305441735984,0.19448605919608242,0.021930576892970954,0.30001082659002143,0.315864721036365,0.12230569622902099,0.03994342033700082,0.411374896129141,0.045963726684998374,0.5124507169767583
Bakersfield - CA,20.0,18.0,27.0,19.0,29.0,2.0,0.027757039483563117,0.008594346829640997,0.006517843451566918,0.0207962955569283,0.003370288739567906,0.04944329621994337,0.0962540427951668,0.014171122994652396,0.01857243336365455,0.10429442460094518,0.013796856699239468,0.16876612622578402,0.1581791851919354,0.02383498854087085,0.02851401273194898,0.1974503783373449,0.024644770582204822,0.27979415867999924,0.3232163963147239,0.05179526355996944,0.05880309324452315,0.43860317062252263,0.05398075826265725,0.47926496467668156
Port St. Lucie - FL,89.0,49.0,28.0,29.0,12.0,-16.0,0.01710520718850983,0.015227447956823514,0.008124281967322178,0.017403673320093294,0.009187860464299202,0.041620528344094465,0.08487685615956608,0.06939090208172716,0.025897390043495117,0.08417497743814195,0.03666578754262484,0.1780154930221738,0.15250036848681026,0.15355949627345145,0.041179677657606106,0.15625233346326128,0.06424337674568026,0.3222904585342281,0.31906530971192737,0.37715240298123875,0.0862840416848103,0.3349306640848184,0.1318421981147555,0.548801923353107
Lancaster - PA,21.0,28.0,29.0,62.0,53.5,24.5,0.024476035085646553,0.007090730293463077,0.005105526522589665,0.025616821836162096,0.0036559144325554183,0.050832240846480525,0.09437666001363665,0.059417214429895004,0.013801792571482618,0.10658677724304888,0.012671184506719335,0.17750802461531245,0.1544641717290951,0.0969929092697066,0.020033946276731163,0.1876228766230168,0.021054706699516812,0.3088291030366288,0.30102395401626314,0.195383261735935,0.04440348556598184,0.38960007677747277,0.041937502410032135,0.497738489039697
Salem - OR,3.0,15.0,30.0,48.0,26.0,-4.0,0.026149589410472407,-0.00012849341471254938,0.006359031623365041,0.03689077973040966,0.0057394833969743875,0.051968705100855495,0.09225903005612301,0.023064567940892955,0.0198335552328468,0.13913125707697738,0.02034031828623095,0.17780142982468017,0.15123718122595275,0.053549630581432694,0.029916673601026567,0.23438988431362073,0.03488972335211815,0.29611643814202826,0.3087041030567217,0.14156761965949238,0.06426406757913905,0.48611327377607183,0.07179242555426946,0.49701985699538787
