market,Empirical_Rank_1yr,Empirical_Rank_3yr,Empirical_Rank_5yr,Empirical_Rank_10yr,Summary_Sheet_Rank,Rank_Difference_5yr
Greenville - SC,101.0,71.0,42.0,31.0,21.5,-20.5
Vallejo-Fairfield - CA,14.0,22.0,43.0,44.0,71.0,28.0
Reno - NV,48.0,23.0,44.0,49.0,5.0,-39.0
Charleston - SC,108.0,79.0,45.0,37.0,10.0,-35.0
Orange County - CA,71.0,70.0,46.0,15.0,75.0,29.0
Santa Rosa - CA,49.0,29.0,47.0,45.0,98.0,51.0
Brownsville-Harlingen - TX,54.0,57.0,48.0,46.0,58.0,10.0
Montgomery - AL,86.0,72.0,49.0,43.0,80.0,31.0
Phoenix - AZ,148.0,149.0,50.0,7.0,8.0,-42.0
Greensboro - NC,135.0,86.0,51.0,33.0,92.0,41.0
Lehigh Valley - PA,61.0,38.0,52.0,74.0,66.0,14.0
Columbia - SC,120.0,93.0,53.0,42.0,45.0,-8.0
Philadelphia - PA,64.0,59.0,54.0,52.0,79.0,25.0
Portland - ME,25.0,31.0,55.0,89.0,78.0,23.0
Memphis - TN,105.0,61.0,56.0,51.0,95.5,39.5
Augusta - GA,110.0,73.0,57.0,50.0,77.0,20.0
Buffalo - NY,23.0,40.0,58.0,97.0,106.0,48.0
Harrisburg - PA,31.0,32.0,59.0,91.0,74.0,15.0
Cleveland - OH,104.0,76.0,60.0,86.0,124.0,64.0
Rochester - NY,38.0,37.0,61.0,98.0,107.5,46.5
Albany - NY,29.0,35.0,62.0,96.0,110.0,48.0
Naples - FL,94.0,89.0,63.0,58.0,23.0,-40.0
Long Island - NY,18.0,44.0,64.0,87.0,94.0,30.0
Columbus - OH,72.0,42.0,65.0,54.0,60.0,-5.0
Stamford - CT,30.0,25.0,66.0,135.0,115.0,49.0
Chicago - IL,6.0,10.0,67.0,116.0,130.0,63.0
Indianapolis - IN,55.0,53.0,68.0,82.0,33.0,-35.0
Detroit - MI,19.0,21.0,69.0,102.0,93.0,24.0
Boise - ID,28.0,30.0,70.0,69.0,16.0,-54.0
Jacksonville - FL,130.0,108.0,71.0,25.0,24.5,-46.5
Baltimore - MD,76.0,96.0,72.0,61.0,105.0,33.0
Little Rock - AR,111.0,88.0,73.0,60.0,63.0,-10.0
Las Vegas - NV,126.0,97.0,74.0,21.0,11.0,-63.0
Pensacola - FL,102.0,91.0,75.0,55.0,69.0,-6.0
New Haven - CT,51.0,43.0,76.0,107.0,119.0,43.0
Sacramento - CA,122.0,110.0,77.0,12.0,43.0,-34.0
Tucson - AZ,56.0,75.0,78.0,78.0,70.0,-8.0
Dallas-Fort Worth - TX,123.0,103.0,79.0,40.0,14.0,-65.0
Sarasota - FL,109.0,102.0,80.0,65.0,31.0,-49.0
Savannah - GA,115.0,106.0,81.0,59.0,49.0,-32.0
Cincinnati - OH,69.0,47.0,82.0,71.0,102.0,20.0
Colorado Springs - CO,83.0,85.0,83.0,80.0,37.0,-46.0
Jackson - MS,116.0,99.0,84.0,73.0,116.0,32.0
Scranton - PA,40.0,46.0,85.0,104.0,107.5,22.5
El Paso - TX,96.0,84.0,86.0,64.0,73.0,-13.0
Syracuse - NY,34.0,51.0,87.0,105.0,128.5,41.5
Ogden - UT,78.0,92.0,88.0,83.0,35.0,-53.0
Salisbury - MD,16.0,54.0,89.0,119.0,40.0,-49.0
Oklahoma City - OK,97.0,82.0,90.0,81.0,48.0,-42.0
Beaumont - TX,62.0,74.0,91.0,93.0,128.5,37.5
Lafayette - LA,141.0,113.0,92.0,63.0,134.5,42.5
York - PA,22.0,63.0,93.0,109.0,101.0,8.0
Daytona Beach - FL,131.0,119.0,94.0,68.0,59.0,-35.0
Durham - NC,138.0,120.0,95.0,70.0,81.0,-14.0
Shreveport - LA,127.0,109.0,96.0,90.0,134.5,38.5
Lakeland - FL,129.0,118.0,97.0,67.0,38.0,-59.0
Fort Myers - FL,121.0,114.0,98.0,85.0,36.0,-62.0
Spokane - WA,41.0,39.0,99.0,88.0,83.0,-16.0
Asheville - NC,133.0,122.0,100.0,79.0,76.0,-24.0
Birmingham - AL,136.0,124.0,101.0,75.0,112.0,11.0
Provo - UT,77.0,94.0,102.0,95.0,39.0,-63.0
Lansing - MI,35.0,66.0,103.0,112.0,97.0,-6.0
Milwaukee - WI,47.0,69.0,104.0,121.0,143.0,39.0
Youngstown - OH,17.0,52.0,105.0,117.0,138.0,33.0
Visalia - CA,65.0,68.0,106.0,77.0,89.5,-16.5
Albuquerque - NM,99.0,115.0,107.0,99.0,114.0,7.0
Baton Rouge - LA,113.0,116.0,108.0,101.0,117.0,9.0
Portland - OR,118.0,117.0,109.0,76.0,84.0,-25.0
Madison - WI,26.0,48.0,110.0,138.0,95.5,-14.5
Hartford - CT,80.0,98.0,111.0,118.0,142.0,31.0
Huntsville - AL,132.0,129.0,112.0,103.0,68.0,-44.0
Canton - OH,27.0,77.0,113.0,122.0,140.0,27.0
Dayton - OH,33.0,78.0,114.0,129.0,141.0,27.0
Grand Rapids - MI,60.0,87.0,115.0,137.0,85.0,-30.0
Anchorage - AK,67.0,104.0,116.0,106.0,104.0,-12.0
McAllen - TX,74.0,95.0,117.0,110.0,61.5,-55.5
Flint - MI,42.0,80.0,118.0,128.0,136.5,18.5
Ocala - FL,137.0,136.0,119.0,111.0,99.0,-20.0
Myrtle Beach - SC,142.0,133.0,120.0,115.0,61.5,-58.5
Denver - CO,146.0,145.0,121.0,47.0,88.0,-33.0
Springfield - MO,53.0,81.0,122.0,140.0,109.0,-13.0
Akron - OH,46.0,100.0,123.0,130.0,147.0,24.0
Los Angeles - CA,70.0,127.0,124.0,120.0,139.0,15.0
East Bay - CA,84.0,131.0,125.0,108.0,118.0,-7.0
Toledo - OH,66.0,105.0,126.0,139.0,144.0,18.0
Orlando - FL,140.0,141.0,127.0,72.0,53.5,-73.5
Houston - TX,119.0,126.0,128.0,126.0,46.5,-81.5
Killeen - TX,75.0,121.0,129.0,133.0,89.5,-39.5
Fort Wayne - IN,58.0,101.0,130.0,144.0,126.0,-4.0
Corpus Christi - TX,106.0,130.0,131.0,127.0,145.0,14.0
Omaha - NE,68.0,107.0,132.0,148.0,122.0,-10.0
Honolulu - HI,57.0,128.0,133.0,123.0,133.0,0.0
Saint Louis - MO,98.0,135.0,134.0,131.0,148.0,14.0
Tulsa - OK,59.0,112.0,135.0,146.0,125.0,-10.0
New Orleans - LA,117.0,134.0,136.0,136.0,146.0,10.0
Kansas City - MO,124.0,137.0,137.0,132.0,132.0,-5.0
Miami - FL,52.0,132.0,138.0,124.0,127.0,-11.0
New York - NY,82.0,140.0,139.0,145.0,120.0,-19.0
Northern New Jersey - NJ,91.0,139.0,140.0,141.0,131.0,-9.0
Salt Lake City - UT,144.0,147.0,141.0,94.0,111.0,-30.0
Des Moines - IA,63.0,123.0,142.0,149.0,103.0,-39.0
Pittsburgh - PA,87.0,138.0,143.0,147.0,150.0,7.0
Washington - DC,143.0,143.0,144.0,143.0,121.0,-23.0
Charlotte - NC,150.0,150.0,145.0,100.0,100.0,-45.0
Wichita - KS,79.0,125.0,146.0,150.0,149.0,3.0
Boston - MA,95.0,142.0,147.0,142.0,136.5,-10.5
Atlanta - GA,145.0,144.0,148.0,125.0,86.0,-62.0
Richmond - VA,149.0,148.0,149.0,113.0,123.0,-26.0
Nashville - TN,128.0,146.0,150.0,134.0,113.0,-37.0
